Trial,ParameterSet,Transactions,KeyGenLatency,EncapsulationLatency,DecapsulationLatency,TotalLatency,Throughput,PublicKeySize,SecretKeySize,CiphertextSize
1,ML-KEM-512,500000,6.76087,7.82858,9.51713,24.1066,41482.4,800,1632,768
2,ML-KEM-512,500000,6.82012,7.89885,9.7345,24.4535,40894,800,1632,768
3,ML-KEM-512,500000,6.90861,7.86009,9.7458,24.5145,40792.2,800,1632,768
4,ML-KEM-512,500000,6.99976,8.02136,9.84887,24.87,40209.1,800,1632,768
5,ML-KEM-512,500000,6.93492,8.02481,9.89112,24.8509,40240.1,800,1632,768
1,ML-KEM-768,500000,11.7797,13.4777,15.9815,41.2389,24249,1184,2400,1088
2,ML-KEM-768,500000,11.9824,13.6767,16.1104,41.7695,23940.9,1184,2400,1088
3,ML-KEM-768,500000,11.8302,13.5223,16.0056,41.3582,24179,1184,2400,1088
4,ML-KEM-768,500000,11.9281,13.5198,16.0379,41.4858,24104.6,1184,2400,1088
5,ML-KEM-768,500000,12.0322,13.7438,16.2404,42.0165,23800.2,1184,2400,1088
1,ML-KEM-1024,500000,19.2462,21.4994,24.5991,65.3448,15303.4,1568,3168,1568
2,ML-KEM-1024,500000,19.3556,21.7124,24.6892,65.7572,15207.5,1568,3168,1568
3,ML-KEM-1024,500000,19.338,21.5504,24.6994,65.5878,15246.7,1568,3168,1568
4,ML-KEM-1024,500000,19.4085,21.5602,24.7899,65.7586,15207.1,1568,3168,1568
5,ML-KEM-1024,500000,19.4002,21.6419,24.8658,65.908,15172.7,1568,3168,1568
